"","data_id","iso","event_id_cnty","event_id_no_cnty","day","month","year","time_precision","event_type","sub_event_type","actor1","inter1","actor2","assoc_actor_2","inter2","interaction","region","country","admin1","admin2","admin3","location","latitude","longitude","geo_precision","source","source_scale","notes","fatalities","timestamp","iso3","event_code_per_group","action_group","date","climate","climate_protest"
"1462",7492508,826,"GBR2320",2320,7,12,2020,1,"Protests","Peaceful protest","Protesters (United Kingdom)",6,"","",0,60,"Europe","United Kingdom","England","Wiltshire","Wiltshire","Salisbury",51.0691,-1.7954,1,"Salisbury Journal","National","On 7 December 2020, members of Extinction Rebellion gathered in Salisbury to protest against three local politicians' opposition to a 'People Friendly Salisbury' scheme that would reduce traffic in the town centre and prioritise pedestrians and cyclists. Protesters accuse the three politicians of being 'weak-willed' and 'shady' and of effectively stopping the scheme without respecting 'local democracy'. [size=no report]",0,1618493906,"GBR",1,"Extinction Rebellion","2020-12-07","Y","Y"
"1463",7487233,826,"GBR2311",2311,6,12,2020,1,"Protests","Peaceful protest","Protesters (United Kingdom)",6,"","",0,60,"Europe","United Kingdom","England","Worcestershire","Worcester","Worcester",52.1923,-2.2219,1,"Malvern Gazette","Subnational","On 6 December 2020, Extinction Rebellion activists gathered in Worcester to protest against a perceived lack of action to tackle climate change. The group aimed to raise awareness of climate change. [size=no report]",0,1618493926,"GBR",1,"Extinction Rebellion","2020-12-06","Y","Y"
"1464",7487234,826,"GBR2312",2312,6,12,2020,1,"Protests","Peaceful protest","Protesters (United Kingdom)",6,"","",0,60,"Europe","United Kingdom","England","Worcestershire","Malvern Hills","Malvern",52.116,-2.3259,1,"Malvern Gazette","Subnational","On 6 December 2020, Extinction Rebellion activists gathered in Malvern to protest against a perceived lack of action to tackle climate change. The group aimed to raise awareness of climate change. [size=no report]",0,1618493927,"GBR",1,"Extinction Rebellion","2020-12-06","Y","Y"
"1465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1467",7470176,826,"GBR2307",2307,5,12,2020,1,"Protests","Protest with intervention","Protesters (United Kingdom)",6,"Police Forces of the United Kingdom (2010-)","",1,16,"Europe","United Kingdom","England","Cambridgeshire","Cambridge","Cambridge",52.2034,0.1231,1,"Cambridge Independent","Subnational","On 5 December 2020, 5 environmental activists gathered in Cambridge to protest for more action to be taken to tackle climate change. Protesters blocked roads by sitting down in the middle of the road and displaying placards calling for greater effort to reverse climate change. This event was organized by Extinction Rebellion. 2 protesters were arrested by police. [size=5]",0,1618493989,"GBR",1,"Extinction Rebellion","2020-12-05","Y","Y"
"1468",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1469",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1474",7489183,826,"GBR2297",2297,4,12,2020,1,"Protests","Peaceful protest","Protesters (United Kingdom)",6,"","",0,60,"Europe","United Kingdom","Wales","Conwy","Conwy","Abergele",53.2843,-3.5814,1,"North Wales Pioneer","Subnational","On 4 December 2020, 16 supporters of Extinction Rebellion gathered in Abergele to protest against deforestation and wider climate change. The group projected an informational film onto the entrance to Gwrych Castle where the final of a popular reality gameshow was being broadcast from. One protester was stopped trying to gain entry to the site by security guards and was later questioned by police, but no arrests were reported. [size=16]",0,1618494049,"GBR",1,"Extinction Rebellion","2020-12-04","Y","Y"
"1475",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
